#name	name2
NM_013943	CLIC4
NM_003421	ZNF37A
NM_001007094	ZNF37A
NM_001267606	ZNF248
NM_021045	ZNF248
NM_001267605	ZNF248
NR_024380	LOC441666
NM_006955	ZNF33B
NM_145021	MARCH8
NM_001256153	ALOX5
NM_001282866	MARCH8
NM_020945	WDFY4
NM_021226	ARHGAP22
NM_001256026	ARHGAP22
NM_001256024	ARHGAP22
NM_001142933	CHAT
NM_138933	A1CF
NM_001142766	PCDH15
NM_199452	ZNF365
NM_018237	CCAR1
NM_003901	SGPL1
NM_080722	ADAMTS14
NM_170744	UNC5B
NM_022153	C10orf54
NM_001195518	MICU1
NM_021132	PPP3CB
NM_001142354	PPP3CB
NM_012095	AP3M1
NM_001222	CAMK2G
NM_144660	SAMD8
NR_038226	ZNF503-AS1
NM_004747	DLG5
NM_020338	ZMIZ1
NM_001243780	FAM213A
NM_145869	ANXA11
NM_001243782	FAM213A
NM_001243781	FAM213A
NM_004329	BMPR1A
NM_001171610	LDB3
NM_000314	PTEN
NM_001031683	IFIT3
NM_016195	KIF20B
NM_148978	PANK1
NM_148977	PANK1
NM_138316	PANK1
NM_001257101	PCGF5
NM_000872	HTR7
NM_001104546	RPP30
NR_104291	HECTD2
NM_025235	TNKS2
NM_017824	MARCH5
NM_003972	BTAF1
NM_019053	EXOC6
NM_133337	MYOF
NM_016341	PLCE1
NM_015188	TBC1D12
NM_000771	CYP2C9
NM_001278526	ZNF518A
NM_020123	TM9SF3
NM_001134670	HOGA1
NM_018058	CRTAC1
NM_032211	LOXL4
NM_000392	ABCC2
NM_001278	CHUK
NM_001256856	BTRC
NM_033637	BTRC
NM_022039	FBXW4
NM_001142434	MGEA5
NM_004311	ARL3
NM_199076	CNNM2
NM_016169	SUFU
NM_014631	SH3PXD2A
NM_024928	OBFC1
NM_052918	SORCS1
NM_007373	SHOC2
NM_001134363	RBM20
NM_001276282	ATRNL1
NM_001242699	ENO4
NR_002791	EMX2OS
NM_001258300	KIAA1598
NM_001243195	INPP5F
NM_014937	INPP5F
NR_033850	WDR11-AS1
NM_001030059	PPAPDC1A
NM_001144918	FGFR2
NM_001144919	FGFR2
NM_001288736	ATE1
NM_001288735	ATE1
NR_073009	FGFR2
NM_002775	HTRA1
NR_003570	DMBT1P1
NM_007329	DMBT1
NM_017579	DMBT1
NM_206860	TACC2
NM_198148	CPXM2
NM_001083914	CTBP2
NM_001329	CTBP2
NM_001171814	OAT
NM_145235	FANK1
NR_033847	FLJ37035
NM_006504	PTPRE
NM_001005463	EBF3
NM_174937	TCERG1L
NM_001105521	JAKMIP3
NM_173575	STK32C
NM_152643	KNDC1
NM_177987	TUBB8
NM_033261	IDI2
NM_014023	WDR37
NR_015376	LINC00200
NR_038884	LINC00701
NR_027653	KLF6
NR_108055	LINC00703
NM_205845	AKR1C2
NM_001353	AKR1C1
NM_001253909	AKR1C3
NR_027916	AKR1C8P
NM_005185	CALML3
NM_001115156	GDI2
NM_001243539	IL15RA
NM_019046	ANKRD16
NR_040079	LOC399715
NR_039659	MIR4454
NR_038291	LINC00707
NM_012311	KIN
NR_024256	GATA3-AS1
NR_027082	SFTA1P
NM_153256	PROSER2
NM_018706	DHTKD1
NR_027322	LOC283070
NM_001008211	OPTN
NM_001278205	HSPA14
NR_110297	DCLRE1C
NM_001039844	ACBD7
NM_001039702	OLAH
NM_001010908	C1QL3
NM_014241	PTPLA
NR_110370	STAM-AS1
NM_178815	ARL5B
NM_207371	SKIDA1
NM_001195627	MLLT10
NR_036533	LOC100499489
NM_012228	MSRB2
NM_178161	PTF1A
NM_001145373	OTUD1
NR_026794	LINC00202-2
NR_026795	LINC00202-1
NM_001172304	MASTL
NR_003525	LRRC37A6P
NM_001034842	PTCHD3
NM_021252	RAB18
NR_033805	WAC-AS1
NM_020848	KIAA1462
NM_001272004	EPC1
NM_033668	ITGB1
NM_133376	ITGB1
NM_001267562	CREM
NM_031866	FZD8
NM_001190489	MTRNR2L7
NR_051997	ZNF33BP1
NM_145011	ZNF25
NM_001278174	ZNF33A
NM_006954	ZNF33A
NM_001278170	ZNF33A
NM_001278179	ZNF33A
NR_024524	LOC100129055
NR_027269	SEPT7P9
NR_024497	LINC00999
NR_045000	ACTR3BP5
NR_103829	CCNYL2
NR_026827	LINC00839
NR_026777	ZNF37BP
NM_014753	BMS1
NM_020630	RET
NM_000609	CXCL12
NM_001033886	CXCL12
NM_006963	ZNF22
NM_001276343	AGAP4
NM_133446	AGAP4
NM_181519	SYT15
NM_031912	SYT15
NM_005972	NPY4R
NR_033957	LINC00842
NM_001278794	NPY4R
NM_001278795	LOC100996758
NM_001190810	AGAP9
NR_024495	BMS1P6
NM_001278688	ANTXRL
NR_103827	ANTXRLP1
NR_024495	BMS1P6
NM_004962	GDF10
NR_029396	CTGLF12P
NM_001278548	MAPK8
NM_001031746	VSTM4
NM_144984	VSTM4
NM_001135196	C10orf71
NM_003055	SLC18A3
NM_182554	C10orf53
NM_001077665	AGAP6
NM_019893	ASAH2
NR_038277	PRKG1-AS1
NM_001190478	MTRNR2L5
NM_152230	IPMK
NM_194298	SLC16A9
NR_104162	LOC283045
NM_014951	ZNF365
NM_001282405	NRBF2
NM_012238	SIRT1
NM_001278187	HERC4
NM_145178	ATOH7
NM_021644	HNRNPH3
NM_001042417	RUFY2
NM_001198696	AIFM2
NM_004096	EIF4EBP2
NM_018055	NODAL
NM_014431	PALD1
NM_000281	PCBD1
NM_001289797	PCBD1
NM_001174098	SLC29A3
NM_004273	CHST3
NM_014767	SPOCK2
NM_001244950	SPOCK2
NM_173473	ANAPC16
NM_019058	DDIT4
NM_016065	MRPS16
NM_152586	USP54
NR_048575	GLUD1P3
NR_026592	BMS1P4
NM_003635	NDST2
NM_015037	ZSWIM8
NM_002658	PLAU
NM_001145031	PLAU
NM_001001791	C10orf55
NR_033675	VDAC2
NM_032772	ZNF503
NR_110302	ZNF503-AS2
NM_001271522	KCNMA1
NM_001271521	KCNMA1
NR_024585	DLG5-AS1
NM_005729	PPIF
NM_153367	ZCCHC24
NM_001093770	SFTPA1
NM_001099692	EIF5AL1
NM_001278495	NUTM2B
NR_027512	BEND3P3
NM_003019	SFTPD
NR_027430	TMEM254-AS1
NR_027431	TMEM254-AS1
NM_001012973	PLAC9
NM_000429	MAT1A
NM_001270042	DYDC2
NM_032372	DYDC2
NM_001128309	TSPAN14
NM_207373	C10orf99
NM_001030015	OPN4
NM_024756	MMRN2
NM_005271	GLUD1
NM_001099338	NUTM2A
NR_028492	CFL1P1
NM_020799	STAMBPL1
NR_028371	FAS-AS1
NM_003956	CH25H
NM_001547	IFIT2
NM_000235	LIPA
NM_001270928	IFIT1
NM_012420	IFIT5
NM_001270927	IFIT1
NM_001270930	IFIT1
NM_001270929	IFIT1
NR_026835	FLJ37201
NM_032373	PCGF5
NR_108070	TNKS2-AS1
NM_002729	HHEX
NM_183374	CYP26C1
NM_018131	CEP55
NM_020992	PDLIM1
NM_001130446	C10orf131
NM_001134375	CCNJ
NM_001284324	OPALIN
NM_005479	FRAT1
NM_012083	FRAT2
NM_002629	PGAM1
NM_001145114	RRP12
NM_001129981	ANKRD2
NM_018425	PI4K2A
NM_031484	MARVELD1
NM_003015	SFRP5
NM_001002261	ZFYVE27
NM_000195	HPS1
NM_032709	PYROXD2
NM_020348	CNNM1
NM_031212	SLC25A28
NM_006459	ERLIN1
NM_018294	CWF19L1
NM_001001342	BLOC1S2
NR_026762	LINC00263
NM_005063	SCD
NM_003989	PAX2
NM_003990	PAX2
NM_000278	PAX2
NM_001163812	C10orf2
NM_176792	MRPL43
NM_017893	SEMA4G
NM_001243770	FAM178A
NM_006562	LBX1
NM_015448	DPCD
NM_173197	KCNIP2
NM_001113407	LDB1
NM_003893	LDB1
NM_015062	PPRC1
NM_001284389	NOLC1
NM_004741	NOLC1
NM_002779	PSD
NR_073110	PSD
NM_005736	ACTR1A
NM_024886	C10orf95
NR_038937	RPARP-AS1
NM_017787	WBP1L
NM_001083913	WBP1L
NM_144591	C10orf32
NR_037644	C10orf32-ASMT
NM_001136200	C10orf32
NM_020682	AS3MT
NM_032154	PCGF6
NR_046344	CALHM2
NM_004210	NEURL1
NM_000494	COL17A1
NM_001002759	SFR1
NM_033397	ITPRIP
NR_104028	SORCS3-AS1
NM_130439	MXI1
NM_005871	SMNDC1
NM_005962	MXI1
NM_004419	DUSP5
NM_014456	PDCD4
NR_026932	PDCD4-AS1
NM_001195304	BBIP1
NM_001199492	PDCD4
NM_000681	ADRA2A
NM_020918	GPAM
NM_001244949	GPAM
NM_198514	NHLRC2
NM_000684	ADRB1
NM_198795	TDRD1
NM_018017	CCDC186
NM_001272046	VWA2
NM_001112704	VAX1
NM_173791	PDZD8
NM_022063	FAM204A
NM_199461	NANOS1
NM_207009	FAM45A
NM_001033925	TIAL1
NM_004281	BAG3
NM_001243194	INPP5F
NM_024834	MCMBP
NR_037771	SEC23IP
NM_007190	SEC23IP
NM_001001974	PLEKHA1
NM_001099667	ARMS2
NR_037915	FAM24B-CUZD1
NM_153336	PSTK
NR_073476	IKZF5
NM_001105574	HMX3
NM_001146340	NKX1-2
NM_022802	CTBP2
NM_147191	MMP21
NM_207426	FOXI2
NM_004052	BNIP3
NM_018461	PPP2R2D
NM_006426	DPYSL4
NM_001143757	LRRC27
NM_030626	LRRC27
NM_177400	NKX6-2
NM_001083909	GPR123
NM_006659	TUBGCP2
NM_001256617	TUBGCP2
NM_014468	VENTX
NM_001256618	TUBGCP2
NR_108078	MIR202HG
NM_001012508	SPRN
NR_002934	SCART1
NR_033789	SPRNP1
NM_001080998	FRG2B
NM_014267	C11orf58
NM_020693	DSCAML1
NM_152432	ARHGAP42
NM_001144063	OSBPL5
NM_198516	GALNT18
NM_000922	PDE3B
NM_001111018	NAV2
NM_006157	NELL1
NM_012139	SERGEF
NR_104040	SERGEF
NM_001244963	NAV2
NM_001288714	NELL1
NM_145117	NAV2
NM_001145399	MPPED2
NM_001113528	METTL15
NM_016621	PHF21A
NM_001101802	PHF21A
NR_110136	LOC101927120
NM_153266	TMEM151A
NM_002335	LRP5
NM_001098816	TENM4
NM_001168724	TMEM135
NM_001143837	NOX4
NM_014361	CNTN5
NM_015157	PHLDB1
NM_002855	PVRL1
NM_014619	GRIK4
NM_001142685	ARHGAP32
NM_021008	DEAF1
NR_028326	LINC01001
NM_001256630	BRSK2
NM_000218	KCNQ1
NM_181798	KCNQ1
NM_139131	NUP98
NM_004314	ART1
NR_024248	TSSC2
NM_139132	NUP98
NM_144666	DNHD1
NM_176822	NLRP14
NM_003621	PPFIBP2
NM_001270428	LMO1
NR_103855	LOC100506258
NM_015012	TMEM41B
NM_020974	SCUBE2
NM_015213	DENND5A
NM_015055	SWAP70
NR_036485	SBF2-AS1
NM_017944	USP47
NM_018222	PARVA
NM_014632	MICAL2
NM_001030273	ARNTL
NM_148976	PSMA1
NM_001278316	INSC
NM_000352	ABCC8
NM_153676	USH1C
NM_002645	PIK3C2A
NM_018490	LGR4
NM_020869	DCDC5
NM_001288726	ELP4
NM_005734	HIPK3
NM_145804	ABTB2
NM_005898	CAPRIN1
NM_001252652	SLC1A2
NM_003477	PDHX
NM_015430	PAMR1
NM_001135024	PDHX
NM_001195728	SLC1A2
NM_004171	SLC1A2
NM_001160169	PRR5L
NM_014186	COMMD9
NM_001101653	COMMD9
NM_139178	ALKBH3
NM_001258323	TP53I11
NM_006034	TP53I11
NM_021926	ALX4
NM_130783	TSPAN18
NM_001127457	CRY2
NM_001256695	PRDM11
NM_003646	DGKZ
NM_001105540	DGKZ
NM_201533	DGKZ
NM_002334	LRP4
NM_001098503	PTPRJ
NM_130470	MADD
NM_001005212	OR9Q1
NM_002556	OSBP
NM_024092	TMEM109
NM_206893	MS4A10
NM_206939	MS4A7
NM_002032	FTH1
NM_001923	DDB1
NM_001252065	SYT7
NM_001281502	FADS2
NM_004200	SYT7
NM_001083926	ASRGL1
NM_024784	ZBTB3
NM_025080	ASRGL1
NM_001012664	SLC3A2
NM_015080	NRXN2
NM_138732	NRXN2
NM_018026	PACS1
NM_001278251	SLC25A45
NM_024650	C11orf80
NM_012308	KDM2A
NR_027473	KDM2A
NM_001104	ACTN3
NM_030930	UNC93B1
NM_002180	IGHMBP2
NM_001031847	CPT1A
NM_018043	ANO1
NM_053056	CCND1
NR_030691	ANO1
NM_018161	NADSYN1
NM_173582	PGM2L1
NM_020251	ARRB1
NM_004041	ARRB1
NM_006656	NEU3
NM_207577	MAP6
NM_030792	GDPD5
NM_001270381	XRRA1
NR_024042	GUCY2EP
NM_001128620	PAK1
NM_012296	GAB2
NM_175885	FAM181B
NM_001206946	PICALM
NM_007166	PICALM
NM_001008660	PICALM
NM_001156474	CCDC81
NM_000372	TYR
NM_000842	GRM5
NM_001143831	GRM5
NM_005467	NAALAD2
NM_001286139	SLC36A4
NM_001243777	CEP57
NM_001243776	CEP57
NM_004621	TRPC6
NM_001271161	PGR
NM_001202474	PGR
NR_073142	PGR
NM_000926	PGR
NR_073141	PGR
NM_020802	KIAA1377
NM_001256424	GUCY1A2
NM_001130037	ELMOD1
NM_152434	CWF19L2
NM_000051	ATM
NM_015065	EXPH5
NM_020809	ARHGAP20
NM_015191	SIK2
NM_006006	ZBTB16
NM_138973	BACE1
NM_012104	BACE1
NM_001184748	PAFAH1B2
NM_001204268	FXYD6-FXYD2
NM_005933	KMT2A
NM_001197104	KMT2A
NM_019894	TMPRSS4
NM_001173552	TMPRSS4
NM_001173551	TMPRSS4
NM_004397	DDX6
NM_005188	CBL
NM_001257191	DDX6
NM_001198665	ARHGEF12
NM_015313	ARHGEF12
NM_003105	SORL1
NM_024769	CLMP
NM_001286564	GRAMD1B
NM_024806	C11orf63
NM_001199922	SIAE
NM_024631	MSANTD2
NM_022062	PKNOX2
NM_001161707	KIRREL3
NM_032531	KIRREL3
NM_007037	ADAMTS8
NM_014155	ZBTB44
NM_001271983	C11orf44
NR_033852	LOC283177
NM_001098787	BET1L
NM_145651	SCGB1C1
NM_001286136	ODF3
NM_021932	RIC8A
NM_001017524	SIRT3
NM_001276700	NLRP6
NR_049759	IFITM3
NM_025092	ATHL1
NM_006435	IFITM2
NM_138329	NLRP6
NM_178537	B4GALNT4
NM_001135054	SIGIRR
NM_007183	PKP3
NM_203386	RNH1
NM_020901	PHRF1
NM_021920	SCT
NM_198075	LRRC56
NM_004031	IRF7
NM_000797	DRD4
NM_001286583	PHRF1
NM_001171968	CDHR5
NR_038262	MIR210HG
NM_021924	CDHR5
NM_004029	IRF7
NM_001286581	PHRF1
NR_026967	LOC143666
NM_001286582	PHRF1
NM_182612	PDDC1
NM_021128	POLR2L
NM_001039490	CD151
NM_001142677	CHID1
NM_001142674	CHID1
NM_145887	PIDD1
NM_020376	PNPLA2
NM_001286606	CRACR2B
NM_001025234	TSPAN4
NM_012305	AP2A2
NM_005961	MUC6
NM_001242837	AP2A2
NM_002457	MUC2
NM_002458	MUC5B
NR_029409	TOLLIP-AS1
NM_004420	DUSP8
NR_021489	KRTAP5-AS1
NM_001012709	KRTAP5-4
NM_001001480	KRTAP5-5
NM_001242932	LSP1
NR_002196	H19
NM_021134	MRPL23
NM_000612	IGF2
NM_001127598	IGF2
NR_028043	IGF2-AS
NR_028044	IGF2-AS
NR_003512	INS-IGF2
NM_001007139	IGF2
NM_005170	ASCL2
NR_002728	KCNQ1OT1
NM_001122631	CDKN1C
NM_001122630	CDKN1C
NR_024627	KCNQ1DN
NM_000076	CDKN1C
NM_002555	SLC22A18
NM_001130519	ZNF195
NM_053017	ART5
NR_027016	PGAP2
NM_001665	RHOG
NM_001004137	OR52M1
NM_018073	TRIM68
NM_152430	OR51E1
NM_001004751	OR51D1
NM_001005177	OR52R1
NM_001004752	OR51F1
NM_001004753	OR51F2
NM_001005237	OR51G1
NM_001005329	OR51A4
NM_001004758	OR51S1
NM_001005164	OR52E2
NM_001004750	OR51B6
NM_058166	TRIM6
NM_017481	UBQLN3
NM_001005163	OR52D1
NM_033092	TRIM5
NM_001003827	TRIM34
NM_001005181	OR56B4
NM_032127	FAM160A2
NM_001005178	OR52W1
NM_000543	SMPD1
NM_173589	DNHD1
NM_001242856	ARFIP2
NM_003737	DCHS1
NM_006284	TAF10
NM_001004490	OR2AG2
NM_013250	ZNF215
NM_014469	RBMXL2
NM_176821	NLRP10
NR_036678	LOC283299
NM_003754	EIF3F
NM_001286095	TMEM9B
NR_027713	KRT8P41
NM_003390	WEE1
NR_033972	LOC440028
NM_001190702	MTRNR2L8
NM_016422	RNF141
NM_015881	DKK3
NM_001080521	RASSF10
NR_038904	LINC00958
NM_012250	RRAS2
NR_045002	OR7E14P
NM_000525	KCNJ11
NM_001112741	KCNC1
NM_004976	KCNC1
NM_054032	MRGPRX4
NM_054031	MRGPRX3
NR_026576	SAA3P
NM_001165414	LDHA
NM_001261382	UEVLD
NR_038360	SPTY2D1-AS1
NM_001256371	E2F8
NR_015384	LOC100126784
NM_004211	SLC6A5
NM_022725	FANCF
NR_102708	LINC00678
NM_001709	BDNF
NM_001143816	BDNF
NM_001143814	BDNF
NM_001143812	BDNF
NM_181706	DNAJC24
NM_001258465	PAX6
NM_000378	WT1
NM_001198552	WT1
NR_023920	WT1-AS
NM_001076786	QSER1
NM_001145541	TCP11L1
NM_001166692	C11orf91
NM_203329	CD59
NM_012175	FBXO3
NM_001142316	LMO2
NM_001206615	EHF
NM_001001389	CD44
NM_001202557	CD44
NM_001001392	CD44
NM_014344	FJX1
NM_145803	TRAF6
NM_001145033	C11orf96
NR_026952	SEC14L1P1
NR_026681	LOC221122
NM_020826	SYT13
NM_003654	CHST1
NM_018389	SLC35C1
NM_005456	MAPK8IP1
NM_152312	GYLTL1B
NM_052854	CREB3L1
NM_001270551	MDK
NR_073039	MDK
NM_000506	F2
NM_004308	ARHGAP1
NR_038909	LRP4-AS1
NM_152264	SLC39A13
NM_001080547	SPI1
NM_003120	SPI1
NM_001128225	SLC39A13
NM_005055	RAPSN
NM_001164379	FAM180B
NM_031909	C1QTNF4
NM_001004726	OR4X1
NM_001004739	OR5L2
NR_027688	OR7E5P
NM_001005213	OR9G1
NM_001002925	OR5AP2
NM_001005284	OR9G4
NM_002559	P2RX3
NM_033396	TNKS1BP1
NM_003146	SSRP1
NM_178570	RTN4RL2
NM_002728	PRG2
NM_004223	UBE2L6
NM_170746	C11orf31
NM_001005186	OR6Q1
NM_015177	DTX4
NM_198847	FAM111A
NM_001039396	MPEG1
NM_152716	PATL1
NM_004177	STX3
NM_001178040	STX3
NM_001256916	MS4A2
NM_032597	MS4A14
NM_001278242	MS4A15
NM_014502	PRPF19
NM_024098	CCDC86
NM_207341	ZP1
NM_004778	PTGDR2
NM_016582	SLC15A3
NM_017870	TMEM132A
NM_001254751	CD6
NM_001254750	CD6
NR_027391	SLC15A3
NM_178031	TMEM132A
NM_017966	VPS37C
NM_014207	CD5
NM_001079808	PGA4
NM_001145077	LRRC10B
NR_002775	RPLP0P2
NM_004111	FEN1
NM_001127392	MYRF
NR_026882	DKFZP434K028
NM_001139443	BEST1
NM_013401	RAB3IL1
NM_001271686	RAB3IL1
NM_004183	BEST1
NM_020238	INCENP
NM_001040694	INCENP
NM_006551	SCGB1D2
NM_001620	AHNAK
NM_004739	MTA2
NM_001404	EEF1G
NM_000327	ROM1
NM_153265	EML3
NR_037946	HNRNPUL2-BSCL2
NM_001079559	HNRNPUL2
NM_006473	TAF6L
NR_003098	SNHG1
NM_201429	RTN3
NM_001144936	C11orf95
NM_138471	C11orf84
NM_173587	RCOR2
NM_001163296	MARK2
NM_001039469	MARK2
NM_024771	NAA40
NM_013280	FLRT1
NM_138689	PPP1R14B
NM_001282451	ESRRA
NM_003377	VEGFB
NM_033310	KCNK4
NM_000932	PLCB3
NM_004451	ESRRA
NM_001177358	GPR137
NM_178443	FERMT3
NM_001039496	TEX40
NM_032251	CCDC88B
NM_001006944	RPS6KA4
NM_003942	RPS6KA4
NM_153378	SLC22A12
NM_138734	NRXN2
NM_130802	MEN1
NM_017525	CDC42BPG
NM_001164716	PYGM
NM_201997	SF1
NM_001178030	SF1
NM_005609	PYGM
NR_033650	SF1
NM_006244	PPP2R5B
NM_015104	ATG2A
NM_080668	CDCA5
NM_013299	SAC3D1
NM_138456	BATF2
NM_147777	SNX15
NM_001242631	TMEM262
NR_037650	ARL2-SNX15
NR_073519	VPS51
NM_005186	CAPN1
NM_006779	CDC42EP2
NM_001099409	EHBP1L1
NM_021070	LTBP3
NM_001130144	LTBP3
NM_032223	PCNXL3
NM_152832	FAM89B
NM_032193	RNASEH2C
NM_006747	SIPA1
NM_138368	AP5B1
NM_003860	BANF1
NM_031450	C11orf68
NM_053054	CATSPER1
NM_033036	GAL3ST3
NM_030981	RAB1B
NM_015399	BRMS1
NM_004292	RIN1
NM_006876	B4GAT1
NM_005700	DPP3
NM_024649	BBS1
NM_001198844	RBM4
NM_014578	RHOD
NM_017857	SSH3
NM_001619	ADRBK1
NM_145200	CABP4
NM_000852	GSTP1
NM_080658	ACY3
NM_005995	TBX10
NM_001031615	ALDH3B2
NR_024249	FAM86C2P
NM_212469	CHKA
NM_001161473	ALDH3B1
NM_001277	CHKA
NM_022338	C11orf24
NM_001039656	MTL5
NM_015973	GAL
NM_198923	MRGPRD
NM_139075	TPCN2
NR_104161	LOC338694
NM_138768	MYEOV
NM_005117	FGF19
NM_002007	FGF4
NM_005247	FGF3
NR_073536	SHANK2-AS3
NM_001360	DHCR7
NM_001163817	DHCR7
NR_038862	FLJ42102
NM_005553	KRTAP5-9
NM_001012710	KRTAP5-10
NM_001099653	FAM86C1
NM_152563	FAM86C1
NM_018172	FAM86C1
NR_073387	ALG1L9P
NR_073386	ALG1L9P
NM_145309	LRTOMT
NR_026886	LRTOMT
NM_005169	PHOX2A
NM_001567	INPPL1
NM_176072	P2RY2
NM_176071	P2RY2
NM_002564	P2RY2
NM_005472	KCNE3
NM_015424	CHRDL2
NM_001098638	RNF169
NM_007256	SLCO2B1
NM_001195528	TPBGL
NM_001039548	KLHL35
NM_001235	SERPINH1
NM_001207014	SERPINH1
NM_001282456	LOC100506127
NM_004705	PRKRIR
NM_020193	C11orf30
NM_005512	LRRC32
NM_000260	MYO7A
NM_001127180	MYO7A
NM_020798	USP35
NM_001029859	KCTD21
NM_001286117	CCDC90B
NM_001286116	CCDC90B
NR_045004	OR7E2P
NM_012193	FZD4
NM_022337	RAB38
NM_001114173	CTSC
NM_001814	CTSC
NM_148170	CTSC
NM_001146162	TRIM77
NR_028346	TRIM53AP
NR_028346	TRIM53AP
NM_012124	CHORDC1
NM_020179	SMCO4
NM_001144871	VSTM5
NM_002033	FUT4
NM_018039	KDM4D
NR_103726	SRSF8
NM_144665	SESN3
NM_144664	FAM76B
NM_201278	MTMR2
NM_001243571	MTMR2
NM_016156	MTMR2
NM_032021	TMEM133
NM_001282097	YAP1
NM_052932	TMEM123
NM_002425	MMP10
NM_032299	DCUN1D5
NM_017515	SLC35F2
NM_017516	RAB39A
NM_153705	KDELC2
NM_006235	POU2AF1
NM_001271458	COLCA2
NM_017589	BTG4
NR_046085	LOC100132078
NM_001258390	LAYN
NM_001177563	PPP2R1B
NM_138378	FDXACB1
NM_000795	DRD2
NM_001286046	RBM7
NM_016090	RBM7
NM_000040	APOC3
NM_001184746	PAFAH1B2
NM_002572	PAFAH1B2
NR_110282	PAFAH1B2
NM_001207049	BACE1
NR_045215	LOC100652768
NM_004716	PCSK7
NM_001040455	SIDT2
NM_001271933	CEP164
NM_021603	FXYD2
NM_001244995	TMPRSS13
NM_022003	FXYD6
NM_001164837	FXYD6
NM_001164836	FXYD6
NM_174934	SCN4B
NM_001142348	SCN4B
NM_001286571	AMICA1
NM_000073	CD3G
NR_104404	MPZL3
NM_004788	UBE4A
NR_046370	LOC100131626
NR_046369	LOC100131626
NM_032780	TMEM25
NM_001144035	TMEM25
NM_001655	ARCN1
NM_001168618	IFT46
NM_007180	TREH
NM_182557	BCL9L
NM_032966	CXCR5
NM_006389	HYOU1
NM_002105	H2AFX
NM_001130991	HYOU1
NM_014807	C2CD2L
NM_001382	DPAGT1
NM_001164277	SLC37A4
NM_001142505	ABCG4
NM_001145018	CCDC153
NM_001282358	NLRX1
NM_001282144	NLRX1
NM_001168468	PDZD3
NM_022169	ABCG4
NM_006500	MCAM
NM_032015	RNF26
NM_171997	USP2
NM_203286	PVRL1
NM_001244682	POU2F3
NM_014352	POU2F3
NR_038829	LOC649133
NM_178507	OAF
NM_001198670	TMEM136
NM_001198673	TMEM136
NM_019604	CRTAM
NM_199124	C11orf63
NR_027288	LOC341056
NM_001004462	OR10G4
NM_001126181	NRGN
NM_138961	ESAM
NM_019055	ROBO4
NR_103862	LOC100507283
NM_152722	HEPACAM
NM_025004	CCDC15
NM_001145290	SLC37A2
NM_198277	SLC37A2
NM_001080546	TMEM218
NM_001258243	TMEM218
NM_212555	PATE2
NM_001144874	PATE4
NM_001144827	RPUSD4
NM_014026	DCPS
NR_037647	FOXRED1
NM_001039661	TIRAP
NM_006278	ST3GAL4
NR_040078	KIRREL3-AS3
NM_001162422	ETS1
NM_145013	C11orf45
NM_001256088	C11orf45
NM_003658	BARX2
NM_021978	ST14
NM_014758	SNX19
NR_024344	MIR4697HG
NM_001080407	GLB1L3
NM_052875	VPS26B
NM_054025	B3GAT1
NM_001164595	PDZRN4
NR_024254	FAM86FP
NM_139137	KCNC2
NM_014325	CORO1C
NM_001276471	CORO1C
NM_001105237	CORO1C
NM_153348	FBXW8
NM_012174	FBXW8
NM_201443	TEAD4
NM_024829	PLBD1
NM_058169	LOH12CR1
NM_020297	ABCC9
NM_152989	SOX5
NM_001164746	RASSF8
NM_001135812	FAM60A
NM_173600	MUC19
NM_001145108	NELL2
NM_173812	DPY19L2
NM_001145337	MDM2
NM_002392	MDM2
NM_001278462	MDM2
NM_152788	ANKS1B
NM_003297	NR2C1
NM_018413	CHST11
NM_001018072	BTBD11
NM_014503	UTP20
NM_016196	RBM19
NM_001146699	RBM19
NM_006836	GCN1L1
NM_001098519	LRRC43
NM_001278558	WSB2
NM_001278557	WSB2
NM_001136103	TMEM132C
NM_133448	TMEM132D
NM_001170738	IQSEC3
NM_014823	WNK1
NM_015232	IQSEC3
NM_173593	B4GALNT3
NR_027946	ERC1
NM_172364	CACNA2D4
NM_178039	ERC1
NM_178040	ERC1
NR_027949	ERC1
NM_001129839	CACNA1C
NM_001129827	CACNA1C
NM_032680	CRACR2A
NM_001168320	TSPAN9
NM_001286522	PARP11
NM_019854	PRMT8
NM_006675	TSPAN9
NM_001256536	PRMT8
NR_104461	PARP11
NM_020375	C12orf5
NM_017417	GALNT8
NM_000552	VWF
NM_018173	PLEKHG6
NM_001144856	PLEKHG6
NM_014262	LEPREL2
NM_001080454	ACSM4
NM_020734	RIMKLB
NR_024420	LINC00937
NM_001197317	CLEC2D
NM_016511	CLEC1A
NM_001197318	CLEC2D
NM_013269	CLEC2D
NM_001197319	CLEC2D
NR_036693	CLEC2D
NR_028045	KLRAP1
NM_001987	ETV6
NM_031289	GSG1
NM_001080555	GSG1
NM_001080554	GSG1
NM_001206845	GSG1
NM_001206842	GSG1
NM_001206843	GSG1
NM_153823	GSG1
NM_030640	DUSP16
NM_181352	ATF7IP
NM_000834	GRIN2B
NM_001170798	SLC15A5
NM_001143821	PLEKHA5
NM_032941	RECQL
NM_134431	SLCO1A2
NM_003034	ST8SIA1
NM_001178093	BCAT1
NM_001178094	BCAT1
NM_002223	ITPR2
NM_001248004	ARNTL2
NM_020183	ARNTL2
NM_003622	PPFIBP1
NM_001193451	TMTC1
NM_001190995	IPO8
NM_144973	DENND5B
NM_004572	PKP2
NM_139241	FGD4
NM_001005242	PKP2
NM_001173465	KIF21A
NM_201439	PPHLN1
