#name	name2
NM_013943	CLIC4
NM_024122	APOO
NM_005391	PDK3
NM_004845	PCYT1B
NM_001163265	PCYT1B
NM_001142386	PDK3
NM_001098843	CXorf30
NM_001173486	PRRG1
NM_001170331	LANCL3
NM_001142395	PRRG1
NM_198511	LANCL3
NM_001170751	SRPX
NM_001170752	SRPX
NM_001163335	SYTL5
NM_001123383	BCOR
NM_001123384	BCOR
NM_144970	CXorf38
NM_005300	GPR34
NM_001039590	USP9X
NM_001270458	MAOA
NM_000898	MAOB
NM_021140	KDM6A
NM_032591	SLC9A7
NM_001039891	ZNF674
NM_014735	JADE3
NM_001190417	ZNF674
NM_001146291	ZNF674
NM_001077445	JADE3
NM_001257291	SLC9A7
NM_007137	ZNF81
NM_006950	SYN1
NR_033924	CXXC1P1
NR_028366	SSX6
NM_024859	MAGIX
NM_001282142	TFE3
NM_006521	TFE3
NM_001099681	MAGIX
NM_001080489	GLOD5
NM_001127898	CLCN5
NM_001013742	DGKK
NM_020717	SHROOM4
NM_018969	GPR173
NM_001111125	IQSEC2
NM_031407	HUWE1
NM_017848	FAM120C
NM_138362	FAM104B
NM_001166701	FAM104B
NM_198510	ITIH6
NM_001166700	FAM104B
NR_030722	FAM104B
NM_174912	FAAH2
NM_001006681	SPIN2B
NM_007156	ZXDA
NM_001178032	ZC4H2
NM_138737	HEPH
NM_001282141	HEPH
NM_000044	AR
NM_001011645	AR
NM_002547	OPHN1
NM_001142503	STARD8
NM_001003811	TEX11
NM_001145410	NONO
NM_138923	TAF1
NM_004606	TAF1
NR_001568	BCYRN1
NR_104388	TAF1
NM_001286074	TAF1
NR_104394	TAF1
NM_001170747	PIN4
NR_024582	JPX
NM_006517	SLC16A2
NM_001008537	KIAA2022
NM_001146256	ZDHHC15
NM_001146257	ZDHHC15
NM_144969	ZDHHC15
NR_110402	MIR325HG
NM_138270	ATRX
NR_104109	ATP7A
NM_153252	BRWD3
NM_001177479	HDX
NM_001177478	HDX
NM_014496	RPS6KA6
NM_198450	APOOL
NM_000390	CHM
NM_019117	KLHL4
NM_001167972	TRMT2B
NM_001167971	TRMT2B
NM_001167970	TRMT2B
NM_024917	TRMT2B
NM_001168474	TAF7L
NM_001099686	NXF2B
NM_207318	FAM199X
NM_198465	NRK
NM_017681	NUP62CL
NM_032428	FRMPD3
NM_000495	COL4A5
NM_052817	MID2
NM_012216	MID2
NM_001522	GUCY2F
NM_022977	ACSL4
NM_015365	AMMECR1
NM_001143982	CHRDL1
NM_017698	TMEM164
NM_001143983	CHRDL1
NM_000555	DCX
NM_014289	CAPN6
NM_178152	DCX
NM_178151	DCX
NR_033974	LINC00890
NM_133265	AMOT
NM_001004308	ZCCHC16
NR_110399	LOC101928437
NM_001145346	RBMXL3
NM_033495	KLHL13
NM_020721	KIAA1210
NM_144658	DOCK11
NM_001184965	WDR44
NM_001080137	CT47A10
NM_001421	ELF4
NM_001127197	ELF4
NM_001004486	OR13H1
NM_147175	HS6ST2
NR_110410	RAP2C-AS1
NM_001164617	GPC3
NM_001448	GPC4
NM_001170782	FAM122C
NM_001170780	FAM122C
NM_001015877	PHF6
NM_001170784	FAM122C
NR_038998	LINC00629
NM_138819	FAM122C
NM_152695	ZNF449
NM_001017438	CT45A6
NM_001007551	CT45A5
NM_001172288	CT45A5
NM_004114	FGF13
NM_001171876	MCF2
NR_037183	SPANXA2-OT1
NR_027456	LINC00894
NM_173493	PASD1
NM_001142805	SLC6A8
NM_021949	ATP2B3
NM_005629	SLC6A8
NM_005334	HCFC1
NM_001166461	MPP1
NM_000513	OPN1MW
NM_004992	MECP2
NM_023934	FUNDC2
NM_018196	TMLHE
NM_001289	CLIC2
NM_012227	GTPBP6
NM_018390	PLCXD1
NR_027232	LINC00685
NM_013239	PPP2R3B
NM_000451	SHOX
NM_006883	SHOX
NM_001161532	CSF2RA
NM_172249	CSF2RA
NM_001161529	CSF2RA
NM_172245	CSF2RA
NM_022148	CRLF2
NR_026710	ASMTL-AS1
NM_001173474	ASMTL
NM_001267713	IL3RA
NR_026711	ASMTL-AS1
NM_001636	SLC25A6
NM_004192	ASMTL
NM_001173473	ASMTL
NM_178129	P2RY8
NM_005088	AKAP17A
NR_027383	AKAP17A
NM_001171136	ZBED1
NM_004729	ZBED1
NM_001171135	ZBED1
NR_033381	CD99P1
NR_037842	LINC00102
NR_033380	CD99P1
NM_001141919	XG
NM_000047	ARSE
NM_001282628	ARSE
NM_001669	ARSD
NM_015419	MXRA5
NR_034031	LOC389906
NM_016379	VCX3A
NM_001172672	PNPLA4
NM_004650	PNPLA4
NM_001142389	PNPLA4
NM_016378	VCX2
NM_001001888	VCX3B
NM_001830	CLCN4
NM_182681	AMELX
NM_006800	MSL3
NM_001039091	PRPS2
NM_016562	TLR7
NR_030727	TLR8-AS1
NM_138636	TLR8
NR_046087	GS1-600G8.3
NM_001135995	ATXN3L
NM_001195328	RAB9A
NM_014563	TRAPPC2
NM_001011658	TRAPPC2
NM_001128835	TRAPPC2
NM_001001996	GPM6B
NM_001042480	GEMIN8
NM_080873	ASB11
NM_001012428	ASB11
NM_005089	ZRSR2
NM_007220	CA5B
NR_002725	INE2
NM_005314	GRPR
NM_001198719	RBBP7
NM_018360	TXLNG
NR_046642	PPEF1-AS1
NM_001173456	PDHA1
NM_001173455	PDHA1
NM_000284	PDHA1
NM_198279	CXorf23
NR_024440	LOC729609
NR_023358	SCARNA9L
NM_001412	EIF1AX
NM_153270	KLHL34
NM_206923	YY2
NM_004595	SMS
NM_001258423	SMS
NM_152577	ZNF645
NM_182699	DDX53
NM_173495	PTCHD1
NR_027783	SAT1
NM_001415	EIF2S3
NM_030624	KLHL15
NM_001178085	ZFX
NM_001178084	ZFX
NM_001178095	ZFX
NM_001136233	SUPT20HL2
NM_001136234	SUPT20HL1
NM_139058	ARX
NM_173699	MAGEB18
NR_002784	SMEK3P
NM_182506	MAGEB10
NM_000475	NR0B1
NM_025159	CXorf21
NM_152787	TAB3
NM_031894	FTHL17
NM_031442	TMEM47
NM_001271682	FTH1P18
NM_001013736	FAM47C
NM_021083	XK
NM_006520	DYNLT3
NM_001163334	SYTL5
NM_001034853	RPGR
NM_021242	MID1IP1
NR_110386	LOC101927476
NM_005765	ATP6AP2
NR_027761	LOC100132831
NM_001356	DDX3X
NM_001193417	DDX3X
NM_022567	NYX
NM_080817	GPR82
NR_110387	LOC101927501
NM_022076	DUSP21
NM_176819	CXorf36
NR_104644	LINC01204
NM_017776	KRBOX4
NM_001129900	KRBOX4
NM_019886	CHST7
NR_015378	ZNF674-AS1
NM_006915	RP2
NR_046101	LINC01545
NM_001282848	RGN
NM_152869	RGN
NM_006201	CDK16
NM_005229	ELK1
NM_001114123	ELK1
NM_001257168	ELK1
NR_046742	ZNF630-AS1
NR_073393	SSX9
NM_005636	SSX4
NM_005636	SSX4
NM_017883	WDR13
NM_001166426	WDR13
NM_006743	RBM3
NM_002536	TBC1D25
NM_001282166	SUV39H1
NM_001167947	TIMM17B
NM_013271	PCSK1N
NM_004979	KCND1
NM_001136158	OTUD5
NM_001136157	OTUD5
NM_020137	GRIPAP1
NM_017602	OTUD5
NM_007213	PRAF2
NM_001163323	CCDC120
NM_033626	CCDC120
NM_001271836	CCDC120
NM_007075	WDR45
NM_033215	PPP1R3F
NM_001256790	CACNA1F
NM_001476	GAGE6
NR_102272	GAGE1
NM_001476	GAGE6
NM_001040663	GAGE1
NM_001282163	CLCN5
NM_005448	BMP15
NR_033772	CENPVP1
NR_033772	CENPVP1
NM_177535	MAGED4B
NM_177535	MAGED4B
NM_001278697	SSX2
NM_001278697	SSX2
NM_001278701	SSX2B
NM_001278701	SSX2B
NM_133179	XAGE3
NM_001242493	FAM156A
NM_022117	TSPYL2
NR_110456	KANTR
NM_001282622	KDM5C
NM_004187	KDM5C
NM_006306	SMC1A
NM_001267053	RIBC1
NM_058163	TSR2
NM_004463	FGD1
NM_019067	GNL3L
NM_001184819	GNL3L
NM_014599	MAGED2
NM_001190708	MTRNR2L10
NM_130467	PAGE5
NM_014061	MAGEH1
NM_201286	USP51
NM_198451	FOXR2
NM_007250	KLF8
NR_015367	LINC01420
NM_001010862	SPIN3
NM_019003	SPIN2A
NM_007157	ZXDB
NM_152424	AMER1
NM_001010888	ZC3H12B
NR_033742	FRMD8P1
NM_002444	MSN
NM_001184830	VSIG4
NM_021783	EDA2R
NM_001242310	EDA2R
NM_173834	YIPF6
NM_001142504	STARD8
NM_001032396	PJA1
NM_015686	FAM155B
NM_001002254	AWAT2
NM_207320	OTUD6A
NM_001551	IGBP1
NM_002565	P2RY4
NM_021120	DLG3
NM_020730	DLG3
NM_001048164	SLC7A3
NM_001256185	SNX12
NM_005120	MED12
NM_201599	ZMYM3
NR_104396	TAF1
NM_001145140	CXorf49
NM_001145140	CXorf49
NR_034005	LINC00891
NR_034004	LOC100132741
NR_002309	RPS26P11
NM_001024455	RGAG4
NM_207422	FLJ44635
NM_004143	CITED1
NM_001007	RPS4X
NR_027291	NAP1L6
NM_001012977	PABPC1L2A
NM_001042506	PABPC1L2B
NR_003255	TSIX
NM_016120	RLIM
NR_030774	UPRT
NR_030737	TTC3P1
NM_020932	MAGEE1
NM_032121	MAGT1
NM_001029891	PGAM4
NM_004867	ITM2A
NM_001145414	CHM
NM_001184771	CPXCR1
NM_080832	PABPC5
NM_004538	NAP1L3
NM_013347	RPA4
NM_001129896	SYTL4
NM_003270	TSPAN6
NM_001278740	TSPAN6
NM_001278742	TSPAN6
NM_001278741	TSPAN6
NM_021637	TMEM35
NM_001939	DRP2
NM_001199972	RPL36A
NM_004085	TIMM8A
NM_000061	BTK
NR_045861	ARMCX4
NR_028407	ARMCX4
NM_001256155	ARMCX4
NM_019007	ARMCX6
NM_177948	ARMCX3
NM_016608	ARMCX1
NM_001011657	ZMAT1
NM_001099686	NXF2B
NM_018476	BEX1
NM_001080425	BEX4
NM_152278	TCEAL7
NM_001168400	BEX2
NM_001024452	GLRA4
NM_001142422	MORF4L2
NR_038978	MORF4L2-AS1
NM_001164416	H2BFM
NR_039980	LOC286437
NR_026694	ZCCHC18
NM_001012755	SLC25A53
NM_153448	ESX1
NM_024657	MORC4
NM_001085354	MORC4
NM_001171080	RBM41
NM_001169154	PIH1D3
NM_001204402	PRPS1
NR_110395	LOC101928335
NM_001170553	VSIG1
NM_182607	VSIG1
NM_003604	IRS4
NM_001242618	NXT2
NM_001242617	NXT2
NM_012282	KCNE5
NM_020769	RGAG1
NR_002718	TDGF1P3
NM_001168385	ALG13
NM_016383	LUZP4
NR_110384	PLS3-AS1
NM_001282338	PLS3
NM_000686	AGTR2
NM_007231	SLC6A14
NM_001560	IL13RA1
NM_001031855	LONRF3
NR_110396	LOC101928336
NM_001152	SLC25A5
NR_028443	SLC25A5-AS1
NM_145305	SLC25A43
NM_022101	CXorf56
NM_001170569	CXorf56
NM_001170570	CXorf56
NM_017544	NKRF
NM_001105576	SOWAHD
NM_001000	RPL39
NM_006978	RNF113A
NR_027131	NKAPP1
NM_001184742	ZBTB33
NM_001142447	ATP1B4
NM_012069	ATP1B4
NM_013995	LAMP2
NM_001122606	LAMP2
NM_014060	MCTS1
NM_152692	C1GALT1C1
NM_001137554	MCTS1
NM_001145718	CT47B1
NM_001080137	CT47A10
NM_001080137	CT47A10
NM_001080141	CT47A6
NM_012084	GLUD2
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001080137	CT47A10
NM_001080137	CT47A10
NM_001080137	CT47A10
NM_001080137	CT47A10
NM_001080137	CT47A10
NM_001080137	CT47A10
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001080141	CT47A6
NM_001167	XIAP
NM_001204401	XIAP
NR_037916	XIAP
NM_001195272	LOC100129520
NM_001013628	DCAF12L2
NR_110409	LOC101928495
NM_178470	DCAF12L1
NM_001122716	PRR32
NM_017413	APLN
NM_003399	XPNPEP2
NM_018990	SASH3
NM_021946	BCORL1
NM_004794	RAB33A
NM_004208	AIFM1
NM_001130846	AIFM1
NM_016024	RBMX2
NM_018388	MBNL3
NM_133486	MBNL3
NR_046691	HS6ST2-AS1
NM_031907	USP26
NM_001101357	CCDC160
NM_000194	HPRT1
NM_021796	PLAC1
NM_001170781	FAM122C
NM_001078171	FAM127A
NM_001163438	SMIM10
NR_103770	LOC100287728
NM_001185063	ZNF75D
NR_024359	LINC00086
NM_018666	SAGE1
NM_001017438	CT45A6
NM_001042537	SLC9A6
NM_024597	MAP7D3
NM_001173517	MAP7D3
NM_001173516	MAP7D3
NM_001163280	HTATSF1
NM_014500	HTATSF1
NM_016267	VGLL1
NR_028476	RBMX
NR_028477	RBMX
NM_002139	RBMX
NM_054021	GPR101
NM_003413	ZIC3
NR_026935	LINC00889
NM_000133	F9
NM_173694	ATP11C
NM_001013403	CXorf66
NM_005634	SOX3
NR_028344	LINC00632
NM_138702	MAGEC3
NM_177456	MAGEC3
NM_001184750	SLITRK4
NM_001184749	SLITRK4
NM_173078	SLITRK4
NM_001009615	SPANXN2
NM_001009614	SPANXN1
NM_004709	TMEM257
NR_033700	FMR1
NM_000202	IDS
NM_001171909	CXorf40A
NM_001166550	IDS
NM_001171908	CXorf40A
NM_001171907	CXorf40A
NM_001164415	HSFX2
NM_001080790	MAGEA9B
NM_016153	HSFX1
NR_104121	TMEM185A
NM_001164415	HSFX2
NM_016153	HSFX1
NM_001080790	MAGEA9B
NR_109813	LINC00850
NM_005491	MAMLD1
NM_001177466	MAMLD1
NM_003828	MTMR1
NM_005342	HMGB3
NM_004224	GPR50
NM_001017980	VMA21
NM_033085	FATE1
NM_005140	CNGA2
NM_021048	MAGEA10
NM_001166386	MAGEA12
NM_175743	MAGEA2
NM_175868	MAGEA6
NM_001282501	MAGEA2
NM_001282501	MAGEA2
NM_175743	MAGEA2
NM_005362	MAGEA3
NM_001178113	ZNF185
NM_001103150	PNMA5
NM_013364	PNMA3
NM_001282535	PNMA3
NM_032882	PNMA6A
NM_032882	PNMA6A
NM_001136273	ZFP92
NM_001080485	ZNF275
NM_001711	BGN
NM_017518	HAUS7
NM_080701	TREX2
NR_073156	HAUS7
NM_152274	FAM58A
NM_001395	DUSP9
NM_001130997	FAM58A
NM_001039582	PNCK
NM_001256447	BCAP31
NM_000033	ABCD1
NM_001163257	PLXNB3
NM_174869	IDH3G
NM_014370	SRPK3
NM_005393	PLXNB3
NM_001256119	NAA10
NM_001666	ARHGAP4
NM_000425	L1CAM
NM_001146151	AVPR2
NM_001256120	NAA10
NM_003492	TMEM187
NM_001025243	IRAK1
NM_001025242	IRAK1
NM_001569	IRAK1
NM_000513	OPN1MW
NM_020061	OPN1LW
NM_001456	FLNA
NM_000117	EMD
NM_001171132	FAM3A
NM_001171133	FAM3A
NM_001493	GDI1
NM_014235	UBL4A
NM_006014	LAGE3
NM_001183	ATP6AP1
NM_017514	PLXNA3
NR_106917	MIR6858
NM_181312	TAZ
NM_001256577	RPL10
NM_001256580	RPL10
NM_006730	DNASE1L1
NM_001009932	DNASE1L1
NM_001009933	DNASE1L1
NM_001099857	IKBKG
NM_139250	CTAG1A
NM_139250	CTAG1A
NM_000402	G6PD
NR_027401	FAM223A
NR_027401	FAM223A
NM_001099856	IKBKG
NM_080612	GAB3
NM_020994	CTAG2
NR_110023	DKC1
NM_001162936	SMIM9
NM_012151	F8A1
NM_001017990	H2AFB1
NM_001007523	F8A2
NM_001018055	BRCC3
NM_001018024	CMC4
NM_171998	RAB39B
NM_003372	VBP1
NM_012151	F8A1
NM_001017990	H2AFB1
NM_001007523	F8A2
NM_012151	F8A1
NM_001017990	H2AFB1
NM_001007523	F8A2
NM_005840	SPRY3
NM_001145149	VAMP7
NR_033715	VAMP7
NM_002186	IL9R
NM_176786	IL9R
NM_032973	PCDH11Y
NM_145177	DHRSX
NM_013239	PPP2R3B
NM_001267713	IL3RA
NM_178129	P2RY8
NM_001171136	ZBED1
NR_033381	CD99P1
NM_004729	ZBED1
NM_001171135	ZBED1
NR_033380	CD99P1
NM_134259	TBL1Y
NR_028062	PRKY
NM_001164471	TSPY4
NM_182660	UTY
NM_004654	USP9Y
NR_047631	UTY
NR_047629	UTY
NR_033732	BCORP1
NR_045128	TXLNGY
NM_004653	KDM5D
NM_001146705	KDM5D
NR_001543	TTTY14
NM_004676	PRY
NM_020363	DAZ2
NM_004081	DAZ1
NM_001005375	DAZ4
NM_001005375	DAZ4
NR_033715	VAMP7
NM_001145149	VAMP7
NM_005840	SPRY3
NM_012227	GTPBP6
NM_018390	PLCXD1
NR_027232	LINC00685
NM_000451	SHOX
NM_006883	SHOX
NM_022148	CRLF2
NM_001161529	CSF2RA
NM_001161532	CSF2RA
NM_172249	CSF2RA
NM_172245	CSF2RA
NR_026710	ASMTL-AS1
NR_026711	ASMTL-AS1
NM_001636	SLC25A6
NM_001173474	ASMTL
NM_004192	ASMTL
NM_001173473	ASMTL
NR_027383	AKAP17A
NM_005088	AKAP17A
NM_002414	CD99
NM_001277710	CD99
NM_001145276	ZFY
NM_001145275	ZFY
NM_032972	PCDH11Y
NM_001278619	PCDH11Y
NM_022573	TSPY2
NR_001540	TTTY23
NR_046505	LINC00280
NR_003592	TTTY7B
NR_046300	FAM197Y5
NR_046300	FAM197Y5
NR_046300	FAM197Y5
NM_001164471	TSPY4
NM_001164471	TSPY4
NM_001077697	TSPY3
NM_001243721	TSPY8
NM_001282469	TSPY10
NM_001282469	TSPY10
NR_046300	FAM197Y5
NR_046300	FAM197Y5
NM_001077697	TSPY3
NR_003592	TTTY7B
NR_001540	TTTY23
NR_001545	TTTY15
NR_028083	FAM41AY1
NM_001001722	CDY2B
NM_001001722	CDY2B
NR_028083	FAM41AY1
NM_001282471	PRORY
NM_004676	PRY
NR_001541	TTTY5
NR_002193	RBMY2FP
NM_170723	CDY1
NM_170723	CDY1
NM_176786	IL9R
NM_002186	IL9R
NM_138499	PWWP2B
NM_001098637	PWWP2B
NM_020200	PRTFDC1
NM_012425	RSU1
NM_001244973	NRP1
NM_152724	RSU1
NR_038973	FAM170B-AS1
NR_045259	NRP1
NM_021828	HPSE2
NM_207303	ATRNL1
NM_001166246	HPSE2
NM_001270764	CHST15
NM_001165973	NRG3
NM_001270765	CHST15
NM_001010848	NRG3
NM_002627	PFKP
NM_001242339	PFKP
NM_012341	GTPBP4
NM_001818	AKR1C4
NM_001029880	SFMBT2
NM_001018039	SFMBT2
NM_014688	USP6NL
NM_003638	ITGA8
NM_153498	CAMK1D
NM_001142308	MALRD1
NM_001098844	TMEM236
NM_001098500	KIAA1217
NM_001282853	CCNY
NM_001184787	PARD3
NM_001282852	CCNY
NM_001190810	AGAP9
NM_001282906	ZFAND4
NM_001282905	ZFAND4
NM_001098512	PRKG1
NM_006258	PRKG1
NM_001142771	PCDH15
NM_000242	MBL2
NM_020987	ANK3
NM_145307	RTKN2
NM_001204403	ANK3
NM_032776	JMJD1C
NM_001149	ANK3
NM_001282948	JMJD1C
NM_022124	CDH23
NM_052836	CDH23
NM_001171930	CDH23
NM_152707	SLC25A16
NM_032024	C10orf11
NR_024429	ZMIZ1-AS1
NM_001014797	KCNMA1
NM_001271518	KCNMA1
NM_017551	GRID1
NM_001284223	LRIT2
NR_075100	NUTM2D
NM_001017924	LRIT2
NM_006204	PDE6C
NM_001776	ENTPD1
NM_001164178	ENTPD1
NM_000772	CYP2C18
NR_038444	ENTPD1-AS1
NM_001164182	ENTPD1
NM_001164181	ENTPD1
NM_001164179	ENTPD1
NM_001164183	ENTPD1
NM_001128925	CYP2C18
NM_004523	KIF11
NM_001098175	ENTPD1
NR_024467	HECTD2-AS1
NM_001010917	GOLGA7B
NM_032429	LZTS2
NM_015221	DNMBP
NM_025145	CFAP43
NM_012229	NT5C2
NM_024541	C10orf76
NR_024130	DNMBP-AS1
NM_014978	SORCS3
NM_002313	ABLIM1
NM_001177660	HABP2
NM_001003408	ABLIM1
NM_001003407	ABLIM1
NM_025015	HSPA12A
NM_001609	ACADSB
NM_001039762	FAM196A
NM_001380	DOCK1
NM_021641	ADAM12
NM_001288974	ADAM12
NM_003474	ADAM12
NM_015155	LARP4B
NM_018702	ADARB2
NM_017782	FAM208B
NM_001282645	PRKCQ
NM_001242413	PRKCQ
NM_006257	PRKCQ
NM_030569	ITIH5
NM_031923	TAF3
NM_032817	ITIH5
NM_001083591	CELF2
NR_046108	CELF2-AS2
NM_001025076	CELF2
NM_080599	UPF2
NM_024693	ECHDC3
NR_038222	PROSER2-AS1
NM_018518	MCM10
NM_012247	SEPHS1
NM_031455	CCDC3
NM_152751	BEND7
NM_001282658	CCDC3
NM_182751	MCM10
NM_001195604	SEPHS1
NM_018027	FRMD4A
NM_001193424	SUV39H2
NM_001193425	SUV39H2
NM_004808	NMT2
NM_001010924	FAM171A1
NM_024948	FAM188A
NM_030664	PTER
NM_001261838	PTER
NM_001001484	PTER
NM_001081	CUBN
NR_037774	STAM
NR_034129	ST8SIA6-AS1
NM_002438	MRC1
NM_201570	CACNB2
NM_001098844	TMEM236
NM_201571	CACNB2
NM_201572	CACNB2
NM_032812	PLXDC2
NM_001282736	PLXDC2
NM_001173484	NEBL
NM_213569	NEBL
NM_006393	NEBL
NM_001253855	SPAG6
NM_001253854	SPAG6
NM_022365	DNAJC1
NR_038921	LOC100130992
NM_019590	KIAA1217
NM_020824	ARHGAP21
NM_001282770	KIAA1217
NM_001282767	KIAA1217
NR_108067	LINC00836
NR_108069	LINC00836
NR_108068	LINC00836
NM_020752	GPR158
NM_001178116	ABI1
NM_001178124	ABI1
NM_014317	PDSS1
NM_017433	MYO3A
NM_019043	APBB1IP
NM_145698	ACBD5
NM_018076	ARMC4
NM_016628	WAC
NM_173496	MPP7
NM_012342	BAMBI
NM_021738	SVIL
NM_003174	SVIL
NM_001143770	ZNF438
NM_001143769	ZNF438
NM_001270698	ARHGAP12
NM_018287	ARHGAP12
NM_001174093	ZEB1
NR_104163	LOC102031319
NM_024688	CCDC7
NR_109827	CCDC7
NR_109826	CCDC7
NM_052997	ANKRD30A
NR_104061	LINC00993
NM_001267607	ZNF248
NR_003086	HSD17B7P2
NM_001267597	ZNF248
NM_003421	ZNF37A
NM_001007094	ZNF37A
NM_001267606	ZNF248
NM_021045	ZNF248
NM_001267605	ZNF248
NR_024380	LOC441666
NM_018590	CSGALNACT2
NM_006955	ZNF33B
NR_024472	RSU1P2
NM_000698	ALOX5
NR_033842	TMEM72-AS1
NM_001256154	ALOX5
NM_145021	MARCH8
NM_001282866	MARCH8
NR_027632	FAM35BP
NM_153034	ZNF488
NM_001042358	PTPN20B
NM_001042357	PTPN20B
NM_001256025	ARHGAP22
NM_020945	WDFY4
NM_021226	ARHGAP22
NR_045675	ARHGAP22
NM_001018071	FRMPD2
NM_001142933	CHAT
NM_001142929	CHAT
NM_001142934	CHAT
NM_020984	CHAT
NM_003631	PARG
NM_000124	ERCC6
NM_170753	PGBD3
NM_001277059	ERCC6-PGBD3
NM_001277058	ERCC6-PGBD3
NM_020986	CHAT
NM_147156	SGMS1
NM_014576	A1CF
NM_138932	A1CF
NM_001198819	A1CF
NM_001198818	A1CF
NM_138933	A1CF
NM_018464	CISD1
NM_001080512	BICC1
NM_032439	PHYHIPL
NM_005436	CCDC6
NM_178505	TMEM26
NM_199451	ZNF365
NM_199452	ZNF365
NM_017987	RUFY2
NM_018237	CCAR1
NM_033498	HK1
NM_004896	VPS26A
NM_001057	TACR2
NM_030625	TET1
NR_104262	CCAR1
NM_001035260	VPS26A
NM_207119	LRRC20
NM_018239	LRRC20
NM_080798	COL13A1
NM_001278214	LRRC20
NM_080802	COL13A1
NM_001278213	LRRC20
NM_003901	SGPL1
NM_001171932	CDH23
NM_080722	ADAMTS14
NM_170744	UNC5B
NM_001244889	UNC5B
NM_001198799	ASCC1
NM_001198798	ASCC1
NM_006077	MICU1
NM_022153	C10orf54
NM_001198800	ASCC1
NM_000917	P4HA1
NM_173348	FAM149B1
NM_021132	PPP3CB
NM_001142353	PPP3CB
NM_001202449	ADK
NM_012095	AP3M1
NM_014000	VCL
NM_207012	AP3M1
NM_001123	ADK
NM_172171	CAMK2G
NM_012330	KAT6B
NM_144660	SAMD8
NM_001174156	SAMD8
NR_038226	ZNF503-AS1
NM_001161353	KCNMA1
NM_001161352	KCNMA1
NM_004747	DLG5
NM_020338	ZMIZ1
NM_145869	ANXA11
NM_001243782	FAM213A
NM_001243779	FAM213A
NM_207372	SH2D4B
NM_001145719	SH2D4B
NM_001243781	FAM213A
NM_001278409	ANXA11
NM_001243778	FAM213A
NM_001278408	ANXA11
NM_018999	CCSER2
NM_001284243	CCSER2
NM_004329	BMPR1A
NM_007078	LDB3
NM_019054	FAM35A
NM_133447	AGAP11
NM_001171610	LDB3
NM_001080114	LDB3
NM_015045	WAPAL
NM_000314	PTEN
NM_001549	IFIT3
NM_001128215	LIPM
NM_001141945	ACTA2
NM_001289759	IFIT3
NM_148978	PANK1
NM_148977	PANK1
NM_001284259	KIF20B
NM_173497	HECTD2
NM_001257101	PCGF5
NM_019859	HTR7
NM_000872	HTR7
NM_019860	HTR7
NM_001104546	RPP30
NR_104291	HECTD2
NM_001178137	CPEB3
NM_014912	CPEB3
NM_017824	MARCH5
NM_003972	BTAF1
NM_019053	EXOC6
NM_013451	MYOF
NM_133337	MYOF
NM_001013848	EXOC6
NM_016341	PLCE1
NM_015188	TBC1D12
NM_001288989	PLCE1
NM_000771	CYP2C9
NM_001017423	ALDH18A1
NM_002860	ALDH18A1
NM_001034957	SORBS1
NM_024991	SORBS1
NM_001034955	SORBS1
NM_000769	CYP2C19
NM_001278526	ZNF518A
NM_152309	PIK3AP1
NM_014803	ZNF518A
NM_020123	TM9SF3
NM_001278524	ZNF518A
NM_001278525	ZNF518A
NM_012465	TLL2
NM_138413	HOGA1
NM_022362	MMS19
NM_001289403	MMS19
NM_003061	SLIT1
NM_001134670	HOGA1
NM_001289404	MMS19
NM_018058	CRTAC1
NM_032211	LOXL4
NM_000392	ABCC2
NM_002079	GOT1
NM_020354	ENTPD7
NM_003393	WNT8B
NM_001278	CHUK
NM_001256856	BTRC
NM_012215	MGEA5
NM_033637	BTRC
NM_001195517	TLX1
NM_022039	FBXW4
NM_005521	TLX1
NM_001142434	MGEA5
NM_003939	BTRC
NM_001199378	GBF1
NM_004311	ARL3
NM_199076	CNNM2
NM_017649	CNNM2
NM_001199379	GBF1
NM_016169	SUFU
NM_014631	SH3PXD2A
NM_014720	SLK
NM_024928	OBFC1
NM_001191013	GSTO2
NM_183239	GSTO2
NM_001206571	SORCS1
NM_001206572	SORCS1
NM_019903	ADD3
NM_001121	ADD3
NM_016824	ADD3
NM_005445	SMC3
NM_001134363	RBM20
NM_001198527	TCF7L2
NM_001198531	TCF7L2
NM_001146274	TCF7L2
NM_001267056	CASP7
NM_001227	CASP7
NM_032550	AFAP1L2
NM_001287824	AFAP1L2
NM_014881	DCLRE1A
NM_001271816	DCLRE1A
NM_033339	CASP7
NM_001001936	AFAP1L2
NM_001135051	FAM160B1
NM_001145453	GFRA1
NM_006229	PNLIPRP1
NM_005264	GFRA1
NM_145793	GFRA1
NM_018330	KIAA1598
NM_001258299	KIAA1598
NM_001242699	ENO4
NM_001127211	KIAA1598
NM_001258298	KIAA1598
NR_002791	EMX2OS
NM_001258300	KIAA1598
NM_153810	CACUL1
NM_014904	RAB11FIP2
NR_026939	CASC2
NM_005308	GRK5
NR_033850	WDR11-AS1
NM_023029	FGFR2
NM_001144917	FGFR2
NM_001144913	FGFR2
NM_002775	HTRA1
NM_004406	DMBT1
NR_027282	LOC399815
NM_007329	DMBT1
NM_017579	DMBT1
NR_003570	DMBT1P1
NM_206861	TACC2
NM_206862	TACC2
NM_006997	TACC2
